State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
California,40.77678,-124.17948999999999,Ozone,0.028293000000000002,Ozone 8-hour 2015
California,32.67618,-115.48307,Ozone,0.049688,Ozone 8-hour 2015
California,32.79222,-115.56306000000001,Ozone,0.038482,Ozone 8-hour 2015
California,33.0325,-115.62361000000001,Ozone,0.037982999999999996,Ozone 8-hour 2015
California,33.213611,-115.54528,Ozone,0.024503999999999998,Ozone 8-hour 2015
California,37.360684,-118.33078300000001,Ozone,0.045067,Ozone 8-hour 2015
California,36.508611,-116.847778,Ozone,0.049069999999999996,Ozone 8-hour 2015
California,36.508611,-116.847778,Ozone,0.049069999999999996,Ozone 8-hour 2015
California,37.362137,-118.417478,Ozone,0.031620999999999996,Ozone 8-hour 2015
California,35.345607,-118.851825,Ozone,0.052062,Ozone 8-hour 2015
California,35.051454,-119.40262,Ozone,0.051753,Ozone 8-hour 2015
California,35.050551,-118.14729399999999,Ozone,0.049967000000000004,Ozone 8-hour 2015
California,35.356615000000005,-119.06261299999998,Ozone,0.048223,Ozone 8-hour 2015
California,35.438035,-119.01678700000001,Ozone,0.048336000000000004,Ozone 8-hour 2015
California,35.331612,-118.99996100000001,Ozone,0.046271,Ozone 8-hour 2015
California,35.23918,-118.78863,Ozone,0.052147000000000006,Ozone 8-hour 2015
California,35.503586999999996,-119.27260600000001,Ozone,0.049061,Ozone 8-hour 2015
California,36.233274,-119.76621200000001,Ozone,0.044668,Ozone 8-hour 2015
California,36.315670000000004,-119.643447,Ozone,0.045896,Ozone 8-hour 2015
California,39.01893,-122.91333,Ozone,0.034347,Ozone 8-hour 2015
California,34.1365,-117.92391,Ozone,0.049507999999999996,Ozone 8-hour 2015
California,34.14435,-117.85036000000001,Ozone,0.051565999999999994,Ozone 8-hour 2015
California,34.051109999999994,-118.45636,Ozone,0.043274,Ozone 8-hour 2015
California,34.066590000000005,-118.22688000000001,Ozone,0.03877,Ozone 8-hour 2015
California,34.19925,-118.53276000000001,Ozone,0.051896000000000005,Ozone 8-hour 2015
California,33.901389,-118.205,Ozone,0.039282,Ozone 8-hour 2015
California,34.010290000000005,-118.0685,Ozone,0.044847000000000005,Ozone 8-hour 2015
California,34.067029999999995,-117.7514,Ozone,0.040784,Ozone 8-hour 2015
California,34.1326,-118.1272,Ozone,0.048938999999999996,Ozone 8-hour 2015
California,33.8025,-118.22,Ozone,0.035498,Ozone 8-hour 2015
California,33.95507,-118.43048999999999,Ozone,0.042017,Ozone 8-hour 2015
California,34.38344,-118.5284,Ozone,0.05304299999999999,Ozone 8-hour 2015
California,34.669739,-118.13051100000001,Ozone,0.048544,Ozone 8-hour 2015
California,36.867125,-120.010158,Ozone,0.04481,Ozone 8-hour 2015
California,36.953256,-120.034203,Ozone,0.046,Ozone 8-hour 2015
California,37.97231,-122.520004,Ozone,0.032642000000000004,Ozone 8-hour 2015
California,37.71325,-119.7062,Ozone,0.048511,Ozone 8-hour 2015
California,37.54377,-119.83957,Ozone,0.054535,Ozone 8-hour 2015
California,39.14566,-123.20298000000001,Ozone,0.031063,Ozone 8-hour 2015
California,37.281853000000005,-120.43367099999999,Ozone,0.044598,Ozone 8-hour 2015
California,36.48187,-121.73333000000001,Ozone,0.034575,Ozone 8-hour 2015
California,36.209286,-121.12637099999999,Ozone,0.037828,Ozone 8-hour 2015
California,36.694261,-121.623271,Ozone,0.034989,Ozone 8-hour 2015
California,38.278849,-122.275024,Ozone,0.036302999999999995,Ozone 8-hour 2015
California,39.233477,-121.055608,Ozone,0.047082,Ozone 8-hour 2015
California,33.83062,-117.93845,Ozone,0.04185,Ozone 8-hour 2015
California,33.63003,-117.67593000000001,Ozone,0.048811,Ozone 8-hour 2015
California,33.925129999999996,-117.95263999999999,Ozone,0.041991,Ozone 8-hour 2015
California,38.93568,-121.09958999999999,Ozone,0.045802999999999996,Ozone 8-hour 2015
California,39.100173999999996,-120.953832,Ozone,0.044849,Ozone 8-hour 2015
California,38.74643,-121.26498000000001,Ozone,0.039363999999999996,Ozone 8-hour 2015
California,39.166017,-120.14883300000001,Ozone,0.04515,Ozone 8-hour 2015
California,38.867937,-121.338353,Ozone,0.043293,Ozone 8-hour 2015
California,33.447866999999995,-117.088649,Ozone,0.049476,Ozone 8-hour 2015
California,33.747236,-115.82012399999999,Ozone,0.047704,Ozone 8-hour 2015
California,33.92086,-116.85841,Ozone,0.055096000000000006,Ozone 8-hour 2015
California,33.583018,-117.072202,Ozone,0.050908999999999996,Ozone 8-hour 2015
California,33.71969,-116.1897,Ozone,0.051845,Ozone 8-hour 2015
California,33.9397,-115.4108,Ozone,0.048558,Ozone 8-hour 2015
California,33.590833,-116.088333,Ozone,0.038247,Ozone 8-hour 2015
California,33.944713,-116.830074,Ozone,0.054582000000000006,Ozone 8-hour 2015
California,33.708529999999996,-116.21537,Ozone,0.054477,Ozone 8-hour 2015
California,33.85275,-116.54101000000001,Ozone,0.051963,Ozone 8-hour 2015
California,33.78942,-117.22764,Ozone,0.052447,Ozone 8-hour 2015
California,33.99958,-117.41601000000001,Ozone,0.05155,Ozone 8-hour 2015
