State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
Arkansas,34.681343,-92.32869699999999,PM2.5 - Local Conditions,10.339831,PM25 Annual 2012
Arkansas,33.220563,-92.672263,PM2.5 - Local Conditions,9.054167,PM25 Annual 2012
Arkansas,36.1797,-94.116827,PM2.5 - Local Conditions,8.0075,PM25 Annual 2012
California,37.687526,-121.784217,PM2.5 - Local Conditions,6.35,PM25 Annual 2012
California,37.743065,-122.16993500000001,PM2.5 - Local Conditions,6.758449000000001,PM25 Annual 2012
California,37.814780999999996,-122.282347,PM2.5 - Local Conditions,7.770028,PM25 Annual 2012
California,37.793624,-122.263376,PM2.5 - Local Conditions,7.390028,PM25 Annual 2012
California,37.864767,-122.302741,PM2.5 - Local Conditions,9.388636,PM25 Annual 2012
California,37.701221999999994,-121.903019,PM2.5 - Local Conditions,6.332102,PM25 Annual 2012
California,39.76168,-121.84047,PM2.5 - Local Conditions,6.1645959999999995,PM25 Annual 2012
California,39.76168,-121.84047,PM2.5 - Local Conditions,7.934524000000001,PM25 Annual 2012
California,38.20185,-120.680277,PM2.5 - Local Conditions,5.460947,PM25 Annual 2012
California,39.021221000000004,-122.281803,PM2.5 - Local Conditions,6.16,PM25 Annual 2012
California,39.18919,-121.99887,PM2.5 - Local Conditions,7.022950999999999,PM25 Annual 2012
California,37.936013,-122.026154,PM2.5 - Local Conditions,6.133333,PM25 Annual 2012
California,37.936013,-122.026154,PM2.5 - Local Conditions,6.866759,PM25 Annual 2012
California,37.9604,-122.35681100000001,PM2.5 - Local Conditions,7.786325,PM25 Annual 2012
California,36.785379999999996,-119.77321,PM2.5 - Local Conditions,11.186111,PM25 Annual 2012
California,36.785379999999996,-119.77321,PM2.5 - Local Conditions,11.580645,PM25 Annual 2012
California,36.785379999999996,-119.77321,PM2.5 - Local Conditions,10.570442,PM25 Annual 2012
California,36.785379999999996,-119.77321,PM2.5 - Local Conditions,11.030939,PM25 Annual 2012
California,36.985119,-119.65833899999998,PM2.5 - Local Conditions,6.310894,PM25 Annual 2012
California,36.634225,-120.38233100000001,PM2.5 - Local Conditions,5.718475,PM25 Annual 2012
California,36.819449,-119.71643300000001,PM2.5 - Local Conditions,10.177311,PM25 Annual 2012
California,36.819449,-119.71643300000001,PM2.5 - Local Conditions,9.495597,PM25 Annual 2012
California,36.72639,-119.73299999999999,PM2.5 - Local Conditions,11.244736999999999,PM25 Annual 2012
California,40.77678,-124.17948999999999,PM2.5 - Local Conditions,6.78785,PM25 Annual 2012
California,32.67618,-115.48307,PM2.5 - Local Conditions,10.779939,PM25 Annual 2012
California,32.67618,-115.48307,PM2.5 - Local Conditions,9.24,PM25 Annual 2012
California,32.97833,-115.53917,PM2.5 - Local Conditions,8.370085000000001,PM25 Annual 2012
California,32.79222,-115.56306000000001,PM2.5 - Local Conditions,7.9387929999999995,PM25 Annual 2012
California,37.360684,-118.33078300000001,PM2.5 - Local Conditions,4.60625,PM25 Annual 2012
California,37.360684,-118.33078300000001,PM2.5 - Local Conditions,4.791785,PM25 Annual 2012
California,37.360684,-118.33078300000001,PM2.5 - Local Conditions,4.791785,PM25 Annual 2012
California,37.360684,-118.33078300000001,PM2.5 - Local Conditions,3.3220339999999995,PM25 Annual 2012
California,36.487823,-117.871036,PM2.5 - Local Conditions,4.3442620000000005,PM25 Annual 2012
California,36.487823,-117.871036,PM2.5 - Local Conditions,5.193956,PM25 Annual 2012
California,35.385574,-119.015009,PM2.5 - Local Conditions,12.31157,PM25 Annual 2012
California,35.050551,-118.14729399999999,PM2.5 - Local Conditions,6.52274,PM25 Annual 2012
California,35.356615000000005,-119.06261299999998,PM2.5 - Local Conditions,11.885303,PM25 Annual 2012
California,35.356615000000005,-119.06261299999998,PM2.5 - Local Conditions,11.371429,PM25 Annual 2012
California,35.324636,-118.99762700000001,PM2.5 - Local Conditions,12.903478,PM25 Annual 2012
California,35.642943,-117.715066,PM2.5 - Local Conditions,4.102778,PM25 Annual 2012
California,36.102244,-119.56565,PM2.5 - Local Conditions,12.325,PM25 Annual 2012
California,36.102244,-119.56565,PM2.5 - Local Conditions,12.027083,PM25 Annual 2012
California,36.315670000000004,-119.643447,PM2.5 - Local Conditions,12.172206,PM25 Annual 2012
California,39.01893,-122.91333,PM2.5 - Local Conditions,3.141667,PM25 Annual 2012
California,34.1365,-117.92391,PM2.5 - Local Conditions,8.703279,PM25 Annual 2012
California,34.1365,-117.92391,PM2.5 - Local Conditions,9.676271,PM25 Annual 2012
California,34.1365,-117.92391,PM2.5 - Local Conditions,10.686667,PM25 Annual 2012
California,34.1365,-117.92391,PM2.5 - Local Conditions,10.686667,PM25 Annual 2012
California,34.066590000000005,-118.22688000000001,PM2.5 - Local Conditions,10.867409,PM25 Annual 2012
California,34.066590000000005,-118.22688000000001,PM2.5 - Local Conditions,10.445763000000001,PM25 Annual 2012
California,34.19925,-118.53276000000001,PM2.5 - Local Conditions,9.188983,PM25 Annual 2012
California,33.901389,-118.205,PM2.5 - Local Conditions,11.026073,PM25 Annual 2012
California,34.010290000000005,-118.0685,PM2.5 - Local Conditions,9.95082,PM25 Annual 2012
California,34.010290000000005,-118.0685,PM2.5 - Local Conditions,9.898305,PM25 Annual 2012
California,34.010290000000005,-118.0685,PM2.5 - Local Conditions,11.343103,PM25 Annual 2012
California,34.010290000000005,-118.0685,PM2.5 - Local Conditions,11.343103,PM25 Annual 2012
California,34.010290000000005,-118.0685,PM2.5 - Local Conditions,10.661404,PM25 Annual 2012
California,34.1326,-118.1272,PM2.5 - Local Conditions,9.139474,PM25 Annual 2012
California,34.1326,-118.1272,PM2.5 - Local Conditions,8.850442,PM25 Annual 2012
California,34.1326,-118.1272,PM2.5 - Local Conditions,9.139474,PM25 Annual 2012
California,34.1326,-118.1272,PM2.5 - Local Conditions,8.711475,PM25 Annual 2012
California,33.82376,-118.18921,PM2.5 - Local Conditions,9.018239,PM25 Annual 2012
California,33.792359999999995,-118.17533,PM2.5 - Local Conditions,9.239266,PM25 Annual 2012
