state,city,latitude,longitude,pollutant,average
District Of Columbia,Washington,38.895571999999994,-76.958072,PM2.5 - Local Conditions,8.318413999999999
District Of Columbia,Washington,38.895571999999994,-76.958072,PM2.5 - Local Conditions,8.165156
District Of Columbia,Washington,38.921847,-77.013178,PM2.5 - Local Conditions,8.00084
District Of Columbia,Washington,38.921847,-77.013178,PM2.5 - Local Conditions,7.9235289999999985
District Of Columbia,Washington,38.89477,-76.95342600000001,PM2.5 - Local Conditions,8.87135
District Of Columbia,Washington,38.89477,-76.95342600000001,PM2.5 - Local Conditions,8.748759999999999
District Of Columbia,Washington,38.875161,-77.012816,PM2.5 - Local Conditions,7.95927
District Of Columbia,Washington,38.875161,-77.012816,PM2.5 - Local Conditions,7.868538999999998
Florida,Gainesville,29.706111,-82.387778,PM2.5 - Local Conditions,6.959574000000001
Florida,Melbourne,28.053611,-80.62861099999998,PM2.5 - Local Conditions,5.304167
Florida,Davie,26.053889,-80.25694399999998,PM2.5 - Local Conditions,5.8897439999999985
Florida,Pompano Beach Highlands,26.292025,-80.09647,PM2.5 - Local Conditions,6.5038459999999985
Florida,Coconut Creek,26.294167,-80.176389,PM2.5 - Local Conditions,5.603333
Florida,Jacksonville,30.135796999999997,-81.63398099999998,PM2.5 - Local Conditions,6.6268910000000005
Florida,Jacksonville,30.354722,-81.54777800000001,PM2.5 - Local Conditions,6.8033899999999985
Florida,Ferry Pass,30.525367,-87.20354999999998,PM2.5 - Local Conditions,7.261017
Florida,Tampa,27.955133,-82.469532,PM2.5 - Local Conditions,7.455488000000001
Florida,Valrico,27.96565,-82.2304,PM2.5 - Local Conditions,7.159322
Florida,Tallahassee,30.439721999999996,-84.346389,PM2.5 - Local Conditions,7.599167
Florida,Palm Springs North,25.941944,-80.32638899999998,PM2.5 - Local Conditions,6.361739
Florida,Homestead,25.471944,-80.482778,PM2.5 - Local Conditions,6.595725999999999
Florida,Delray Beach,26.456944,-80.09277800000001,PM2.5 - Local Conditions,5.930357
Florida,Clearwater,27.986283,-82.78215,PM2.5 - Local Conditions,6.288888999999998
Florida,Sanford,28.746111,-81.31055599999998,PM2.5 - Local Conditions,5.683332999999998
Georgia,Macon,32.777465,-83.640996,PM2.5 - Local Conditions,9.102542
Georgia,Macon,32.805264,-83.54349300000001,PM2.5 - Local Conditions,7.3394960000000005
Georgia,Garden City,32.110679,-81.161823,PM2.5 - Local Conditions,7.652662999999999
Georgia,Athens (corp name Athens-Clarke County),33.918137,-83.344385,PM2.5 - Local Conditions,6.032143
Georgia,Forest Park,33.610845,-84.39071700000001,PM2.5 - Local Conditions,8.694958
Georgia,Kennesaw,34.015436,-84.607423,PM2.5 - Local Conditions,8.647934
Georgia,,31.513097,-82.749971,PM2.5 - Local Conditions,7.1884299999999985
Georgia,,33.6878,-84.29050000000002,PM2.5 - Local Conditions,8.283332999999999
Georgia,Albany,31.5776,-84.0998,PM2.5 - Local Conditions,9.225287
