state,city,latitude,longitude,pollutant,average
California,Azusa,34.136500000000005,-117.92391,Ozone,0.049508
California,Glendora,34.14435,-117.85036000000001,Ozone,0.051565999999999994
California,West Los Angeles,34.051109999999994,-118.45636,Ozone,0.043274
California,Los Angeles,34.066590000000005,-118.22688000000001,Ozone,0.03877
California,Reseda,34.19925,-118.53276000000001,Ozone,0.051896000000000005
California,Compton,33.901389,-118.205,Ozone,0.039282
California,Pico Rivera,34.010290000000005,-118.0685,Ozone,0.044847000000000005
California,Pomona,34.067029999999995,-117.7514,Ozone,0.040784
California,Pasadena,34.132600000000004,-118.1272,Ozone,0.048939
California,Long Beach,33.8025,-118.22,Ozone,0.035498
California,Los Angeles,33.95507,-118.43049,Ozone,0.042017
California,Santa Clarita,34.38344,-118.5284,Ozone,0.05304299999999999
California,Lancaster,34.669739,-118.13051100000001,Ozone,0.048544
California,Madera,36.867125,-120.010158,Ozone,0.04481
California,Madera,36.953256,-120.034203,Ozone,0.046
California,San Rafael,37.97231,-122.520004,Ozone,0.032642000000000004
California,,37.71325,-119.7062,Ozone,0.048511
California,,37.54377,-119.83957,Ozone,0.054535
California,Ukiah,39.14566,-123.20298000000001,Ozone,0.031063
California,,37.281853000000005,-120.43367099999999,Ozone,0.044598
California,Carmel Valley Village,36.48187,-121.73333000000001,Ozone,0.034575
California,King City,36.209286,-121.12637099999999,Ozone,0.037828
California,Salinas,36.694261,-121.623271,Ozone,0.034989
California,Napa,38.278849,-122.275024,Ozone,0.036303
California,Grass Valley,39.233477,-121.055608,Ozone,0.047082
California,Anaheim,33.83062,-117.93845,Ozone,0.04185
California,Mission Viejo,33.63003,-117.67593000000001,Ozone,0.048811
California,La Habra,33.92513,-117.95263999999999,Ozone,0.041991
California,Auburn,38.93568,-121.09958999999999,Ozone,0.045803
California,Colfax,39.100174,-120.953832,Ozone,0.044849
California,Roseville,38.74643,-121.26498000000001,Ozone,0.039364
California,Tahoe City,39.166017,-120.14883300000001,Ozone,0.04515
California,Lincoln,38.867937,-121.338353,Ozone,0.043293
California,,33.447866999999995,-117.088649,Ozone,0.049476
California,Joshua Tree National Monument,33.747236,-115.820124,Ozone,0.047704
California,Banning,33.92086,-116.85841,Ozone,0.055096000000000006
California,,33.583018,-117.072202,Ozone,0.050909
California,Indio,33.71969,-116.1897,Ozone,0.051845
California,Joshua Tree National Monument,33.9397,-115.4108,Ozone,0.048558
California,,33.590833,-116.088333,Ozone,0.038247
California,Banning,33.944713,-116.830074,Ozone,0.054582000000000006
California,Indio,33.70853,-116.21537,Ozone,0.054477
California,Palm Springs,33.85275,-116.54101000000001,Ozone,0.051963
California,Perris,33.78942,-117.22764,Ozone,0.052447
California,Rubidoux,33.99958,-117.41601000000001,Ozone,0.05155
California,Mira Loma,33.99636,-117.4924,Ozone,0.051723000000000005
California,Lake Elsinore,33.67649,-117.33098000000001,Ozone,0.04966
California,Blythe,33.61235,-114.60208999999999,Ozone,0.037630000000000004
California,,38.71209,-121.38108999999999,Ozone,0.041119
California,Arden-Arcade,38.613779,-121.36801399999999,Ozone,0.040587
California,Sacramento,38.56844,-121.49311000000002,Ozone,0.037709
California,,38.302591,-121.42083799999999,Ozone,0.040924
California,Folsom,38.683304,-121.16445700000001,Ozone,0.044777
California,,38.494475,-121.21113100000001,Ozone,0.040526
California,Hollister,36.843425,-121.3621,Ozone,0.037791000000000005
California,,36.48324,-121.15688,Ozone,0.042081
California,Barstow,34.89398,-117.024804,Ozone,0.048872000000000006
California,Crestline,34.2431,-117.27235,Ozone,0.058522000000000005
California,,34.4251,-117.5898,Ozone,0.053079
California,Victorville,34.510961,-117.32553999999999,Ozone,0.051006
California,Kelso,35.1019,-115.7767,Ozone,0.060326
California,Upland,34.10374,-117.62913999999999,Ozone,0.049994
California,Searles Valley,35.77417,-117.3714,Ozone,0.046324000000000004
California,Fontana,34.10002,-117.49201000000001,Ozone,0.052734
California,Hesperia,34.41639,-117.2858,Ozone,0.052583000000000005
California,Redlands,34.05977,-117.14731,Ozone,0.058861000000000004
California,,34.06957,-116.38893,Ozone,0.05450700000000001
California,San Bernardino,34.106677999999995,-117.27406299999998,Ozone,0.056231
California,Chula Vista,32.631242,-117.05908799999999,Ozone,0.04147
California,Alpine,32.842318,-116.768293,Ozone,0.052101
California,Camp Pendleton South,33.217055,-117.39617700000001,Ozone,0.039032
California,Otay Mesa,32.57816,-116.92135,Ozone,0.041081
California,San Diego,32.845709,-117.12396399999999,Ozone,0.043063
California,El Cajon,32.789565,-116.944308,Ozone,0.045897
California,San Diego,32.710177,-117.142665,Ozone,0.039644
California,Pala,33.362593,-117.09023,Ozone,0.041588
California,San Francisco,37.765946,-122.39904399999999,Ozone,0.031793
California,Stockton,37.950741,-121.268523,Ozone,0.03726
California,Tracy,37.682635,-121.442495,Ozone,0.042588
California,El Paso de Robles (corporate name for Paso Robles),35.614668,-120.656912,Ozone,0.039217
California,San Luis Obispo,35.25651,-120.6693,Ozone,0.035809
California,Morro Bay,35.36631,-120.84271000000001,Ozone,0.036174
California,Nipomo,35.03146,-120.50103,Ozone,0.036966000000000006
California,Atascadero,35.49453,-120.66617,Ozone,0.038939
California,,35.64368,-120.23135,Ozone,0.042911000000000005
California,,35.35472,-120.04019,Ozone,0.045701
California,Redwood City,37.482934,-122.20336999999999,Ozone,0.032678
California,Capitan,34.46245,-120.02551000000001,Ozone,0.040897
California,Santa Barbara,34.427775,-119.691218,Ozone,0.039656
California,Santa Maria,34.942871999999994,-120.43561100000001,Ozone,0.032331
California,Lompoc,34.725352,-120.42871699999999,Ozone,0.03923
California,Los Padres National Forest,34.54166,-119.79146000000001,Ozone,0.041182
California,Gaviota,34.527440000000006,-120.1965,Ozone,0.027511
California,Carpinteria,34.403051999999995,-119.45791399999999,Ozone,0.043757
California,Capitan,34.489740000000005,-120.04692,Ozone,0.043389
California,Lompoc,34.63782,-120.4575,Ozone,0.020109000000000002
California,Goleta,34.44551,-119.8284,Ozone,0.037227
California,,34.605819,-120.075069,Ozone,0.039233
California,Gilroy,36.999571,-121.574684,Ozone,0.037559
California,San Jose,37.348496999999995,-121.894898,Ozone,0.034852999999999995
California,Los Gatos,37.226862,-121.979675,Ozone,0.036172
California,San Martin,37.079379,-121.600031,Ozone,0.039279
California,Live Oak,36.98332,-121.98822,Ozone,0.035425
California,Redding,40.55013,-122.38091999999999,Ozone,0.037048000000000005
California,Anderson,40.452913,-122.29886599999999,Ozone,0.040234
California,Shasta Lake,40.689253,-122.402194,Ozone,0.038436
California,,40.53999,-121.57646000000001,Ozone,0.042773
California,Yreka,41.726892,-122.633579,Ozone,0.03512
California,Vallejo,38.102507,-122.237976,Ozone,0.034448
California,Fairfield,38.227066,-122.075624,Ozone,0.035721
California,Vacaville,38.35655,-121.94986000000002,Ozone,0.039074
California,Sebastopol,38.403765,-122.818294,Ozone,0.032510000000000004
California,Healdsburg,38.654069,-122.901857,Ozone,0.035063
California,Modesto,37.642165000000006,-120.994212,Ozone,0.04216
California,Turlock,37.488317,-120.836008,Ozone,0.042986
California,Yuba City,39.138773,-121.618549,Ozone,0.036175
California,Sutter,39.205572,-121.82036200000002,Ozone,0.048957
California,,40.262072,-122.092766,Ozone,0.04942
California,Red Bluff,40.17093,-122.25556,Ozone,0.041227999999999994
California,,36.566128000000006,-118.7777,Ozone,0.056614
California,,36.489470000000004,-118.82915,Ozone,0.051067
California,Visalia,36.332179,-119.291228,Ozone,0.046647
California,Porterville,36.031831,-119.05501799999999,Ozone,0.047029
California,Sonora,37.98178,-120.378551,Ozone,0.046438
California,Thousand Oaks,34.210169,-118.87050900000001,Ozone,0.043897000000000005
California,Piru,34.404281,-118.80998000000001,Ozone,0.045701
California,Ojai,34.448057,-119.23129899999999,Ozone,0.045061000000000004
California,Simi Valley,34.276315999999994,-118.68368500000001,Ozone,0.048504000000000005
California,,34.252390000000005,-119.14318200000001,Ozone,0.039329
California,,38.53445,-121.7734,Ozone,0.039944
California,Woodland,38.66121,-121.73269,Ozone,0.042635
Colorado,Welby,39.838119,-104.94984,Ozone,0.039808
Colorado,Southglenn,39.567887,-104.95719299999999,Ozone,0.04696
Colorado,,39.638522,-104.569335,Ozone,0.048931
Colorado,,37.205862,-107.25411799999999,Ozone,0.045213
Colorado,Boulder,40.070016,-105.220238,Ozone,0.045913
Colorado,,39.794391,-105.76398,Ozone,0.050632
Colorado,,38.8764,-107.6023,Ozone,0.04402
Colorado,Denver,39.751184,-104.987625,Ozone,0.038922000000000005
