State Code,County Code,Site Num,state,city,latitude,longitude,pollutant,average
6,71,306,California,Victorville,34.510961,-117.32553999999999,Ozone,0.051006
6,71,1001,California,Kelso,35.1019,-115.7767,Ozone,0.060326
6,71,1004,California,Upland,34.10374,-117.62913999999999,Ozone,0.049994
6,71,1234,California,Searles Valley,35.77417,-117.3714,Ozone,0.046324000000000004
6,71,2002,California,Fontana,34.10002,-117.49201000000001,Ozone,0.052734
6,71,4001,California,Hesperia,34.41639,-117.2858,Ozone,0.052583000000000005
6,71,4003,California,Redlands,34.05977,-117.14731,Ozone,0.058861000000000004
6,71,9002,California,,34.06957,-116.38893,Ozone,0.05450700000000001
6,71,9004,California,San Bernardino,34.106677999999995,-117.27406299999998,Ozone,0.056231
6,73,1,California,Chula Vista,32.631242,-117.05908799999999,Ozone,0.04147
6,73,1006,California,Alpine,32.842318,-116.768293,Ozone,0.052101
6,73,1008,California,Camp Pendleton South,33.217055,-117.39617700000001,Ozone,0.039032
6,73,1014,California,Otay Mesa,32.57816,-116.92135,Ozone,0.041081
6,73,1016,California,San Diego,32.845709,-117.12396399999999,Ozone,0.043063
6,73,1022,California,El Cajon,32.789565,-116.944308,Ozone,0.045897
6,73,1026,California,San Diego,32.710177,-117.142665,Ozone,0.039644
6,73,1201,California,Pala,33.362593,-117.09023,Ozone,0.041588
6,75,5,California,San Francisco,37.765946,-122.39904399999999,Ozone,0.031793
6,77,1002,California,Stockton,37.950741,-121.268523,Ozone,0.03726
6,77,3005,California,Tracy,37.682635,-121.442495,Ozone,0.042588
6,79,5,California,El Paso de Robles (corporate name for Paso Robles),35.614668,-120.656912,Ozone,0.039217
6,79,2006,California,San Luis Obispo,35.25651,-120.6693,Ozone,0.035809
6,79,3001,California,Morro Bay,35.36631,-120.84271000000001,Ozone,0.036174
6,79,4002,California,Nipomo,35.03146,-120.50103,Ozone,0.036966000000000006
6,79,8002,California,Atascadero,35.49453,-120.66617,Ozone,0.038939
6,79,8005,California,,35.64368,-120.23135,Ozone,0.042911000000000005
6,79,8006,California,,35.35472,-120.04019,Ozone,0.045701
6,81,1001,California,Redwood City,37.482934,-122.20336999999999,Ozone,0.032678
6,83,8,California,Capitan,34.46245,-120.02551000000001,Ozone,0.040897
6,83,11,California,Santa Barbara,34.427775,-119.691218,Ozone,0.039656
6,83,1008,California,Santa Maria,34.942871999999994,-120.43561100000001,Ozone,0.032331
6,83,1013,California,Lompoc,34.725352,-120.42871699999999,Ozone,0.03923
6,83,1014,California,Los Padres National Forest,34.54166,-119.79146000000001,Ozone,0.041182
