state_code,county_code,site_num,latitude,longitude,parameter_name_x,sample_duration_x,metric_used_x,units_x,mean_x,stv_x,poc_x,state_name_x,county_name_x,city_name_x,parameter_name_y,sample_duration_y,metric_used_y,units_y,mean_y,stv_y,poc_y,state_name_y,county_name_y,city_name_y
4,12,8000,34.2439,-113.5586,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050097,0.007657,1,Arizona,La Paz,Wenden,,,,,,,,,,
4,13,19,33.48378,-112.14256,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050959,0.011888,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,1003,33.41018,-111.86536,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055942,0.013566,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,1003,33.41018,-111.86536,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055942,0.013566,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,1003,33.41018,-111.86536,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.05562,0.013288,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,1004,33.56031,-112.06619,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.054278,0.015605,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,1004,33.56031,-112.06619,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.053848,0.015278,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,1004,33.56031,-112.06619,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.054278,0.015605,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,1010,33.45244,-111.73327,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055729,0.013701,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,1010,33.45244,-111.73327,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055729,0.013701,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,1010,33.45244,-111.73327,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055478,0.01348,1,Arizona,Maricopa,Mesa,,,,,,,,,,
4,13,2001,33.57453,-112.19193,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049031,0.011497,1,Arizona,Maricopa,Glendale,,,,,,,,,,
4,13,2005,33.70639,-111.85575,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.0575,0.012501,1,Arizona,Maricopa,Scottsdale,,,,,,,,,,
4,13,2005,33.70639,-111.85575,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.0575,0.012501,1,Arizona,Maricopa,Scottsdale,,,,,,,,,,
4,13,2005,33.70639,-111.85575,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.05714,0.012198,1,Arizona,Maricopa,Scottsdale,,,,,,,,,,
4,13,3002,33.45797,-112.04659,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.05337,0.014125,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,3003,33.47968,-111.91721,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.047699,0.014035,1,Arizona,Maricopa,Scottsdale,,,,,,,,,,
4,13,4003,33.40314,-112.07526,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.053302,0.012236,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,4003,33.40314,-112.07526,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.053364,0.012277,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,4003,33.40314,-112.07526,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.053364,0.012277,1,Arizona,Maricopa,Phoenix,,,,,,,,,,
4,13,4004,33.29896,-111.88426,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052912,0.012652,1,Arizona,Maricopa,Chandler,,,,,,,,,,
4,13,4004,33.29896,-111.88426,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.052912,0.012652,1,Arizona,Maricopa,Chandler,,,,,,,,,,
4,13,4004,33.29896,-111.88426,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.05276,0.012516,1,Arizona,Maricopa,Chandler,,,,,,,,,,
4,13,4005,33.41123,-111.93471,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.04574,0.012342,1,Arizona,Maricopa,Tempe,,,,,,,,,,
4,13,4008,33.82169,-112.01726,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055266,0.011302,1,Arizona,Maricopa,Cave Creek,,,,,,,,,,
